No,Name,Level,Form,Effect,Image,Book,,,,,,,,,,,,,,,,,,,
233,Insanity mask,1d6,Wearable: A metal mask with tiny holes in odd places and a locking mechanism in the back,"Anyone wearing the mask begins to slowly lose her mind. The mask causes 1d6 + 2 points of Intellect damage each round for a number of rounds equal to the cypher level. Alternatively, if someone’s Intellect Pool is already at 0, she can attempt to gain Intellect points by wearing the mask. Wearers who start with 0 in their Intellect Pool gain 1d6 2 Intellect points each round for a number of rounds equal to the cypher level. If the resulting number is negative, the wearer takes those points out of the next Pool in succession. For example, if the wearer is at 0 Intellect points and rolls a natural 1, she loses 1 point from her Might Pool. If her Might Pool is already at 0, the point of damage comes out of her Speed Pool instead.
[Using insanity masks to gain Intellect points always involves a risk because a bad roll can decrease your other Pools. Damage is typically applied to Pools in this order: 1. Might (unless the Pool is 0), 2. Speed (unless the Pool is 0) 3. Intellect. Thus, if someone’s Intellect Pool is at 0 when she uses the mask, any damage comes out of her Might Pool.]",no,SATC,,,,,,,,,,,,,,,,,,,
234,Instant boat,1d6+3,Usable: Handheld device,"With the addition of water and air, this small device expands into a simple boat. The boat is 10 feet long by 4 feet wide (3 m by 1 m) and is made from a type of lightweight molded foam that begins to disintegrate after a day.",no,SATC,,,,,,,,,,,,,,,,,,,
235,Instant companion,1d6+1,Usable: Fist-sized organic pod,"If submerged in water, the pod grows quickly. In one minute, it grows into a houndlike beast of a level equal to the cypher level, with appropriate health, damage inflicted, and so on, plus 1 point of Armor. The hound obeys the user’s commands (as best as it can, with only animal-level intelligence) for 28 hours or until it is slain, whichever comes first, at which point it dissolves into thick liquid.",no,SATC,,,,,,,,,,,,,,,,,,,
236,Instant guardian,1d6,Usable: Fist-sized organic pod,"If submerged in water, the pod grows quickly. In one minute, it grows into a batlike creature of a level equal to the cypher level. The creature sits on the user’s shoulder for 28 hours or until the user is attacked. The guardian moves to intercept the attack in its entirety. That is the only action it will take.
[If an echo crystal is affixed to an instant guardian before it is grown (task difficulty 5), two guardians are created by the pod.]",no,SATC,,,,,,,,,,,,,,,,,,,
237,Instant servant,1d6,Usable: Handheld device,"Small device expands into a humanoid automaton that is roughly 2 feet (60 cm) tall. Its level is equal to the cypher level and it can understand the verbal commands of the character who activates it. Once the servant is activated, commanding it is not an action. It can make attacks or perform actions as ordered to the best of its abilities, but it cannot speak. 
The automaton has short-range movement but never goes farther than long range away from the character who activated it. At the GM’s discretion, the servant might have specialized knowledge, such as how to operate a particular device. Otherwise, it has no special knowledge. In any case, the servant is not artificially intelligent or capable of initiating action. It does only as commanded.
The servant operates for one hour per cypher level.",no,DISC,,,,,,,,,,,,,,,,,,,
238,Instant shelter,1d6+3,Usable: Handheld device,"With the addition of water and air, the small device expands into a simple one-room structure with a door and a transparent window (two rooms with an internal door if the cypher is level 7 or higher). The structure is 10 feet by 10 feet by 20 feet (3 m by 3 m by 6 m). It is made from a form of shapestone and is permanent and immobile once created.",no,DISC,,,,,,,,,,,,,,,,,,,
239,Instant shield,1d6,"Wearable: Ring, earring, hair pin, wristband, lapel pin
Usable: Spray canister","When activated by a simple voice command, the device instantly sends out a spray of molecules that harden into a protective wall in the air. The wall is 4 feet by 4 feet (1 m by 1 m). It provides Armor equal to the cypher level for two rounds. Activation is an action.",no,SATC,,,,,,,,,,,,,,,,,,,
240,Instant weapon,1d6+2,"Wearable: Ring, earring, hair pin, wristband, lapel pin
Usable: Spray canister","When activated by a simple voice command, the device instantly emits a temporary light beam. For one round, the beam does damage equal to the cypher level to a foe in close range. The weapon must be activated and used as a single combined action.",no,SATC,,,,,,,,,,,,,,,,,,,
241,Instant wings,1d6,Wearable: Backpack,"When activated, silken wings pop out of this backpack, allowing the wearer to glide (if falling or leaping from a height) for great distances, moving a long distance each round, and landing safely on the ground. The wings last until the wearer lands or for one hour, whichever comes first.",no,SATC,,,,,,,,,,,,,,,,,,,
242,Intellect enhancement,1d6+2,"Internal: Pill, ingestible liquid
Wearable: Adhesive patch that activates when slapped
Usable: Injector",Substance adds 1 to Intellect Edge for one hour (or adds 2 if the cypher is level 5 or higher).,no,DISC,,,,,,,,,,,,,,,,,,,
243,Interaction advisor,1d6+2,"Internal: Pill, ingestible liquid
Wearable: Temporary tattoo, amulet, headband, crystal worn on temple","The device allows the user to access the datasphere to analyze other sentient creatures and anticipate their needs, motives, emotions, and so on. Wording, gestures, and even body language suggestions are offered. For one hour, the user has an asset for all interaction tasks.",no,SATC,,,,,,,,,,,,,,,,,,,
244,Internal detector,1d6,"Internal: Syringe, pill, ingestible liquid","Injects a fluorescent protein gene into the user, causing her skin to glow with a bioluminescent color that reflects the conditions in the surrounding environment (within long range). Works in both air and water. Lasts for one hour.
Blue: poison or other dangerous gasses
Green: dangerous levels of radiation or chemical compound
Yellow: unknown dangerous compound
Orange: unknown safe or beneficial compound
Purple: hallucinogenic compound
No glow: nothing detected",no,SATC,,,,,,,,,,,,,,,,,,,
245,Invisibility nodule,1d6,Usable: Crystal nodule affixed to armor,"For the next ten hours per cypher level, the armor the nodule is attached to is invisible, making the wearer appear to be unarmored.",no,DISC,,,,,,,,,,,,,,,,,,,
246,Invulnerable mesh,10,"Wearable: Bodysuit
Usable: Spray canister",Grants +10 to Armor for one hour.,no,SATC,,,,,,,,,,,,,,,,,,,
247,Jolter,1d6+2,Wearable: Harness with wires connecting to a metal rod that can be held or affixed to the forearm,"When activated, this cypher generates a bolt of wild electricity that extends to short range before arcing into the ground or a target on the ground chosen by the user. The bolt inflicts damage equal to the cypher level, but the jolter is difficult to aim or control. The difficulty for any attack with the device is increased by one step, and a roll of 1 or 2 on the die suggests that a different target (if any) was struck. The jolter emits the bolt for four rounds, each round inflicting the same damage, but using it each round is an action and requires a new roll. There is no way to turn the jolter off once activated, so activating it is a four-round commitment. A user that does not control a jolter in a round will be struck by the bolt of electricity herself.",c247,SATC,,,,,,,,,,,,,,,,,,,
248,Jonah ice,1d6+4,Usable: Liquid contained in a tiny metal canister,"Adding the liquid to water raises the water’s freezing point to 100 °F (38 °C). The water, as well as any other water in contact with it, freezes solid unless temperatures exceed the new freezing point. Anything in the water freezes with it and suffers 6 points of damage. Affected water returns to normal 1d20 days later.",no,SATC,,,,,,,,,,,,,,,,,,,
249,Kinetic rod,1,Usable: A metallic rod with an insulated handle (similar to a club),"The user strikes the device against a solid surface, and the device absorbs the kinetic energy from the impact. The next time the user hits a target with an attack using the rod, the device releases the kinetic energy and inflicts 2 additional points of damage. Thereafter, this device functions as an ordinary club.",no,SATC,,,,,,,,,,,,,,,,,,,
